TimeStamp: 2024-05-08T13:51:39.481    Log Level: INFO   Message:Starting app
TimeStamp: 2024-05-08T13:51:39.779    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.779    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.780    Log Level: Info   Message:This order has a discount= 14.5
TimeStamp: 2024-05-08T13:51:39.780    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.781    Log Level: Info   Message:This order has a discount= 17.0
TimeStamp: 2024-05-08T13:51:39.781    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.781    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.781    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.783    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.783    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.783    Log Level: Info   Message:This order has a discount= 10.5
TimeStamp: 2024-05-08T13:51:39.785    Log Level: Info   Message:This order has a discount= 9.0
TimeStamp: 2024-05-08T13:51:39.785    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.785    Log Level: Info   Message:This order has a discount= 18.0
TimeStamp: 2024-05-08T13:51:39.786    Log Level: Info   Message:This order has a discount= 16.0
TimeStamp: 2024-05-08T13:51:39.786    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.786    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.787    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.788    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.790    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.791    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.791    Log Level: Info   Message:This order has a discount= 8.0
TimeStamp: 2024-05-08T13:51:39.791    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.792    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.792    Log Level: Info   Message:This order has a discount= 15.5
TimeStamp: 2024-05-08T13:51:39.792    Log Level: Info   Message:This order has a discount= 10.5
TimeStamp: 2024-05-08T13:51:39.793    Log Level: Info   Message:This order has a discount= 18.0
TimeStamp: 2024-05-08T13:51:39.793    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.794    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.794    Log Level: Info   Message:This order has a discount= 20.0
TimeStamp: 2024-05-08T13:51:39.795    Log Level: Info   Message:This order has a discount= 13.5
TimeStamp: 2024-05-08T13:51:39.795    Log Level: Info   Message:This order has a discount= 17.5
TimeStamp: 2024-05-08T13:51:39.795    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.795    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.796    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.796    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.796    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.796    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.796    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.797    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.797    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.797    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.797    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.800    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.800    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.800    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.800    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.801    Log Level: Info   Message:This order has a discount= 12.0
TimeStamp: 2024-05-08T13:51:39.801    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.802    Log Level: Info   Message:This order has a discount= 8.5
TimeStamp: 2024-05-08T13:51:39.802    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.802    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.803    Log Level: Info   Message:This order has a discount= 9.0
TimeStamp: 2024-05-08T13:51:39.803    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.803    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.803    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.804    Log Level: Info   Message:This order has a discount= 16.0
TimeStamp: 2024-05-08T13:51:39.807    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.808    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.808    Log Level: Info   Message:This order has a discount= 6.5
TimeStamp: 2024-05-08T13:51:39.809    Log Level: Info   Message:This order has a discount= 5.5
TimeStamp: 2024-05-08T13:51:39.809    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.809    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.810    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.810    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.810    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.811    Log Level: Info   Message:This order has a discount= 16.5
TimeStamp: 2024-05-08T13:51:39.811    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.811    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.812    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.812    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.812    Log Level: Info   Message:This order has a discount= 16.5
TimeStamp: 2024-05-08T13:51:39.816    Log Level: Info   Message:This order has a discount= 6.5
TimeStamp: 2024-05-08T13:51:39.816    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.817    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.817    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.817    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.818    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.818    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.818    Log Level: Info   Message:This order has a discount= 12.0
TimeStamp: 2024-05-08T13:51:39.819    Log Level: Info   Message:This order has a discount= 5.5
TimeStamp: 2024-05-08T13:51:39.819    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.819    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.819    Log Level: Info   Message:This order has a discount= 9.0
TimeStamp: 2024-05-08T13:51:39.820    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.820    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.820    Log Level: Info   Message:This order has a discount= 12.0
TimeStamp: 2024-05-08T13:51:39.820    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.821    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.821    Log Level: Info   Message:This order has a discount= 8.5
TimeStamp: 2024-05-08T13:51:39.821    Log Level: Info   Message:This order has a discount= 16.0
TimeStamp: 2024-05-08T13:51:39.822    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.822    Log Level: Info   Message:This order has a discount= 10.5
TimeStamp: 2024-05-08T13:51:39.823    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.823    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.824    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.824    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.824    Log Level: Info   Message:This order has a discount= 17.5
TimeStamp: 2024-05-08T13:51:39.824    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.825    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.825    Log Level: Info   Message:This order has a discount= 3.0
TimeStamp: 2024-05-08T13:51:39.825    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.826    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.826    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.828    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.829    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.829    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.829    Log Level: Info   Message:This order has a discount= 17.5
TimeStamp: 2024-05-08T13:51:39.829    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.829    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.830    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.830    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.830    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.831    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.831    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.831    Log Level: Info   Message:This order has a discount= 12.0
TimeStamp: 2024-05-08T13:51:39.831    Log Level: Info   Message:This order has a discount= 18.0
TimeStamp: 2024-05-08T13:51:39.832    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.832    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.832    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.832    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.833    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.833    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.833    Log Level: Info   Message:This order has a discount= 10.0
TimeStamp: 2024-05-08T13:51:39.833    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.834    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.835    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.836    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.836    Log Level: Info   Message:This order has a discount= 6.5
TimeStamp: 2024-05-08T13:51:39.836    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.836    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.837    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.837    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.837    Log Level: Info   Message:This order has a discount= 4.5
TimeStamp: 2024-05-08T13:51:39.837    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.837    Log Level: Info   Message:This order has a discount= 13.5
TimeStamp: 2024-05-08T13:51:39.838    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.838    Log Level: Info   Message:This order has a discount= 14.5
TimeStamp: 2024-05-08T13:51:39.838    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.838    Log Level: Info   Message:This order has a discount= 13.0
TimeStamp: 2024-05-08T13:51:39.839    Log Level: Info   Message:This order has a discount= 16.0
TimeStamp: 2024-05-08T13:51:39.839    Log Level: Info   Message:This order has a discount= 16.0
TimeStamp: 2024-05-08T13:51:39.839    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.839    Log Level: Info   Message:This order has a discount= 17.0
TimeStamp: 2024-05-08T13:51:39.839    Log Level: Info   Message:This order has a discount= 16.5
TimeStamp: 2024-05-08T13:51:39.840    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.840    Log Level: Info   Message:This order has a discount= 8.5
TimeStamp: 2024-05-08T13:51:39.840    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.840    Log Level: Info   Message:This order has a discount= 2.0
TimeStamp: 2024-05-08T13:51:39.841    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.841    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.841    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.841    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.842    Log Level: Info   Message:This order has a discount= 19.5
TimeStamp: 2024-05-08T13:51:39.842    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.842    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.842    Log Level: Info   Message:This order has a discount= 7.0
TimeStamp: 2024-05-08T13:51:39.843    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.843    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.843    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.843    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.844    Log Level: Info   Message:This order has a discount= 18.5
TimeStamp: 2024-05-08T13:51:39.844    Log Level: Info   Message:This order has a discount= 8.5
TimeStamp: 2024-05-08T13:51:39.844    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.845    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.845    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.845    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.845    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.847    Log Level: Info   Message:This order has a discount= 8.5
TimeStamp: 2024-05-08T13:51:39.847    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.848    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.848    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.848    Log Level: Info   Message:This order has a discount= 7.0
TimeStamp: 2024-05-08T13:51:39.848    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.848    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.849    Log Level: Info   Message:This order has a discount= 14.5
TimeStamp: 2024-05-08T13:51:39.849    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.849    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.849    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.849    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.850    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.850    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.850    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.850    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.850    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.851    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.851    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.851    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.851    Log Level: Info   Message:This order has a discount= 12.0
TimeStamp: 2024-05-08T13:51:39.852    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.852    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.853    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.853    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.853    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.853    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.854    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.854    Log Level: Info   Message:This order has a discount= 13.0
TimeStamp: 2024-05-08T13:51:39.854    Log Level: Info   Message:This order has a discount= 8.5
TimeStamp: 2024-05-08T13:51:39.855    Log Level: Info   Message:This order has a discount= 12.0
TimeStamp: 2024-05-08T13:51:39.855    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.855    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.856    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.856    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.856    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.856    Log Level: Info   Message:This order has a discount= 16.5
TimeStamp: 2024-05-08T13:51:39.857    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.857    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.857    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.857    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.857    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.858    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.858    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.858    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.858    Log Level: Info   Message:This order has a discount= 1.5
TimeStamp: 2024-05-08T13:51:39.858    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.859    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.859    Log Level: Info   Message:This order has a discount= 5.5
TimeStamp: 2024-05-08T13:51:39.859    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.859    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.860    Log Level: Info   Message:This order has a discount= 10.0
TimeStamp: 2024-05-08T13:51:39.860    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.860    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.860    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.861    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.861    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.867    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.867    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.867    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.867    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.868    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.868    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.868    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.868    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.868    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.869    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.869    Log Level: Info   Message:This order has no discounts
